jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	591.1232	462.1404	550.7930	484.8782	675.9692	722.9691
IndMCP_f	196.0718	225.2647	154.1282	179.9447	419.5920	311.7153
MidMCP_f	75.9958	50.7705	69.1534	60.9559	65.3619	94.9213
RinMMCP_fCP	125.8615	56.5577	102.4884	80.5465	51.4749	78.5363
LitMCP_f	145.8144	88.2964	174.4452	121.1772	78.7666	170.8907
ThPIP	385.9439	301.7311	359.6123	316.5766	441.3398	472.0260
IndPIP	84.3272	96.8826	66.2879	77.3912	180.4595	134.0635
MidPIP	32.8523	21.9476	29.8943	26.3507	28.2553	41.0336
RinPIP	63.4890	28.5297	51.6988	40.6305	25.9657	39.6165
LitPIP	78.5779	47.5820	94.0067	65.3011	42.4465	92.0913
ThDIP	150.6974	117.8153	140.4158	123.6119	172.3275	184.3094
IndDIP	37.0419	42.5570	29.1179	33.9951	79.2693	58.8892
MidDIP	12.9857	8.6753	11.8165	10.4158	11.1686	16.2195
RinDIP	23.2916	10.4664	18.9662	14.9057	9.5258	14.5337
LitDIP	29.7107	17.9910	35.5444	24.6907	16.0492	34.8201
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	590.8419	461.4697	551.2350	485.0665	675.8771	723.4974
IndMCP_f	196.2120	225.0880	154.2305	180.0577	419.5657	312.2434
MidMCP_f	75.9363	50.7197	69.2191	60.8548	65.4043	94.8853
RinMMCP_fCP	125.5404	56.2881	102.4923	80.5400	51.4018	78.5448
LitMCP_f	145.7552	88.1597	174.6574	121.3186	78.7455	170.8641
ThPIP	385.7603	301.2932	359.9009	316.6996	441.2797	472.3709
IndPIP	84.3875	96.8066	66.3319	77.4398	180.4481	134.2907
MidPIP	32.8265	21.9256	29.9228	26.3070	28.2737	41.0180
RinPIP	63.3271	28.3937	51.7007	40.6272	25.9289	39.6208
LitPIP	78.5460	47.5084	94.1211	65.3773	42.4352	92.0769
ThDIP	150.6257	117.6443	140.5285	123.6599	172.3040	184.4441
IndDIP	37.0683	42.5236	29.1372	34.0165	79.2643	58.9890
MidDIP	12.9755	8.6666	11.8277	10.3985	11.1759	16.2134
RinDIP	23.2322	10.4165	18.9669	14.9045	9.5123	14.5353
LitDIP	29.6986	17.9631	35.5876	24.7195	16.0449	34.8147
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	590.5672	460.8232	551.6854	485.2636	675.8064	724.0329
IndMCP_f	196.3569	224.9236	154.3332	180.1805	419.5564	312.7748
MidMCP_f	75.8752	50.6734	69.2859	60.7530	65.4476	94.8491
RinMMCP_fCP	125.2220	56.0232	102.5016	80.5328	51.3297	78.5537
LitMCP_f	145.6961	88.0244	174.8710	121.4596	78.7248	170.8403
ThPIP	385.5809	300.8711	360.1950	316.8283	441.2335	472.7206
IndPIP	84.4498	96.7359	66.3761	77.4926	180.4442	134.5192
MidPIP	32.8001	21.9056	29.9516	26.2629	28.2924	41.0023
RinPIP	63.1664	28.2601	51.7055	40.6236	25.8925	39.6253
LitPIP	78.5141	47.4355	94.2362	65.4533	42.4240	92.0641
ThDIP	150.5556	117.4795	140.6434	123.7102	172.2860	184.5806
IndDIP	37.0957	42.4925	29.1566	34.0397	79.2626	59.0894
MidDIP	12.9651	8.6587	11.8391	10.3811	11.1833	16.2072
RinDIP	23.1732	10.3675	18.9687	14.9032	9.4989	14.5369
LitDIP	29.6866	17.9356	35.6312	24.7482	16.0407	34.8099
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	590.2993	460.2017	552.1444	485.4700	675.7574	724.5761
IndMCP_f	196.5067	224.7718	154.4365	180.3132	419.5647	313.3094
MidMCP_f	75.8123	50.6316	69.3535	60.6506	65.4920	94.8126
RinMMCP_fCP	124.9066	55.7630	102.5164	80.5250	51.2587	78.5628
LitMCP_f	145.6370	87.8906	175.0859	121.6002	78.7045	170.8194
ThPIP	385.4060	300.4653	360.4947	316.9630	441.2015	473.0752
IndPIP	84.5142	96.6706	66.4205	77.5497	180.4477	134.7491
MidPIP	32.7729	21.8875	29.9809	26.2187	28.3115	40.9866
RinPIP	63.0073	28.1289	51.7129	40.6197	25.8567	39.6299
LitPIP	78.4823	47.3633	94.3520	65.5291	42.4130	92.0528
ThDIP	150.4873	117.3210	140.7604	123.7628	172.2735	184.7191
IndDIP	37.1240	42.4639	29.1761	34.0647	79.2641	59.1904
MidDIP	12.9543	8.6516	11.8507	10.3636	11.1908	16.2010
RinDIP	23.1149	10.3194	18.9714	14.9017	9.4858	14.5386
LitDIP	29.6745	17.9083	35.6749	24.7769	16.0366	34.8056
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	590.0386	459.6056	552.6120	485.6860	675.7305	725.1271
IndMCP_f	196.6612	224.6330	154.5403	180.4561	419.5908	313.8476
MidMCP_f	75.7479	50.5943	69.4221	60.5479	65.5372	94.7758
RinMMCP_fCP	124.5946	55.5077	102.5368	80.5164	51.1888	78.5723
LitMCP_f	145.5778	87.7581	175.3023	121.7403	78.6845	170.8015
ThPIP	385.2358	300.0762	360.8000	317.1040	441.1840	473.4349
IndPIP	84.5807	96.6109	66.4652	77.6111	180.4589	134.9806
MidPIP	32.7451	21.8714	30.0105	26.1743	28.3311	40.9707
RinPIP	62.8500	28.0001	51.7232	40.6153	25.8215	39.6347
LitPIP	78.4504	47.2920	94.4686	65.6046	42.4022	92.0432
ThDIP	150.4209	117.1691	140.8796	123.8179	172.2667	184.8595
IndDIP	37.1532	42.4376	29.1957	34.0917	79.2690	59.2920
MidDIP	12.9433	8.6452	11.8624	10.3460	11.1986	16.1947
RinDIP	23.0571	10.2721	18.9752	14.9001	9.4729	14.5404
LitDIP	29.6625	17.8813	35.7190	24.8054	16.0325	34.8020
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	589.7853	459.0356	553.0884	485.9119	675.7263	725.6863
IndMCP_f	196.8205	224.5075	154.6446	180.6096	419.6350	314.3893
MidMCP_f	75.6818	50.5616	69.4916	60.4449	65.5835	94.7389
RinMMCP_fCP	124.2863	55.2574	102.5627	80.5071	51.1202	78.5822
LitMCP_f	145.5187	87.6273	175.5201	121.8797	78.6648	170.7867
ThPIP	385.0704	299.7040	361.1110	317.2516	441.1812	473.8000
IndPIP	84.6492	96.5569	66.5101	77.6772	180.4780	135.2136
MidPIP	32.7165	21.8573	30.0405	26.1298	28.3511	40.9547
RinPIP	62.6944	27.8738	51.7363	40.6107	25.7869	39.6396
LitPIP	78.4185	47.2215	94.5860	65.6797	42.3916	92.0352
ThDIP	150.3563	117.0238	141.0010	123.8755	172.2656	185.0021
IndDIP	37.1833	42.4139	29.2154	34.1208	79.2774	59.3944
MidDIP	12.9320	8.6396	11.8743	10.3284	11.2065	16.1884
RinDIP	23.0001	10.2258	18.9800	14.8984	9.4602	14.5422
LitDIP	29.6504	17.8547	35.7634	24.8338	16.0285	34.7989
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	589.5397	458.4922	553.5737	486.1484	675.7451	726.2539
IndMCP_f	196.9846	224.3956	154.7496	180.7741	419.6977	314.9347
MidMCP_f	75.6141	50.5335	69.5619	60.3420	65.6308	94.7019
RinMMCP_fCP	123.9819	55.0122	102.5942	80.4971	51.0529	78.5924
LitMCP_f	145.4593	87.4981	175.7395	122.0184	78.6454	170.7749
ThPIP	384.9100	299.3492	361.4279	317.4059	441.1935	474.1707
IndPIP	84.7198	96.5088	66.5552	77.7479	180.5049	135.4481
MidPIP	32.6873	21.8451	30.0709	26.0852	28.3715	40.9387
RinPIP	62.5409	27.7501	51.7521	40.6056	25.7529	39.6448
LitPIP	78.3865	47.1518	94.7042	65.7544	42.3812	92.0289
ThDIP	150.2937	116.8852	141.1247	123.9357	172.2704	185.1468
IndDIP	37.2143	42.3928	29.2353	34.1518	79.2892	59.4974
MidDIP	12.9204	8.6348	11.8863	10.3108	11.2146	16.1821
RinDIP	22.9438	10.1804	18.9858	14.8966	9.4477	14.5441
LitDIP	29.6383	17.8283	35.8081	24.8621	16.0245	34.7966
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	589.3019	457.9760	554.0680	486.3959	675.7875	726.8304
IndMCP_f	197.1535	224.2976	154.8551	180.9499	419.7793	315.4840
MidMCP_f	75.5449	50.5099	69.6329	60.2391	65.6790	94.6649
RinMMCP_fCP	123.6817	54.7722	102.6312	80.4863	50.9870	78.6029
LitMCP_f	145.3998	87.3706	175.9606	122.1563	78.6264	170.7664
ThPIP	384.7548	299.0122	361.7506	317.5675	441.2212	474.5470
IndPIP	84.7924	96.4666	66.6006	77.8235	180.5400	135.6844
MidPIP	32.6573	21.8349	30.1017	26.0408	28.3924	40.9227
RinPIP	62.3895	27.6290	51.7708	40.6002	25.7197	39.6501
LitPIP	78.3545	47.0831	94.8234	65.8287	42.3710	92.0243
ThDIP	150.2331	116.7536	141.2507	123.9988	172.2812	185.2938
IndDIP	37.2462	42.3743	29.2552	34.1850	79.3047	59.6012
MidDIP	12.9086	8.6308	11.8984	10.2933	11.2228	16.1757
RinDIP	22.8882	10.1360	18.9927	14.8946	9.4355	14.5460
LitDIP	29.6262	17.8024	35.8532	24.8902	16.0207	34.7948
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	589.0723	457.4873	554.5714	486.6548	675.8540	727.4158
IndMCP_f	197.3273	224.2137	154.9613	181.1375	419.8801	316.0372
MidMCP_f	75.4742	50.4909	69.7048	60.1366	65.7282	94.6278
RinMMCP_fCP	123.3859	54.5374	102.6739	80.4748	50.9226	78.6138
LitMCP_f	145.3401	87.2449	176.1834	122.2932	78.6078	170.7612
ThPIP	384.6049	298.6931	362.0792	317.7366	441.2646	474.9292
IndPIP	84.8672	96.4306	66.6463	77.9042	180.5834	135.9223
MidPIP	32.6268	21.8267	30.1327	25.9965	28.4137	40.9067
RinPIP	62.2403	27.5106	51.7923	40.5944	25.6872	39.6556
LitPIP	78.3223	47.0154	94.9434	65.9026	42.3609	92.0214
ThDIP	150.1745	116.6291	141.3791	124.0648	172.2981	185.4430
IndDIP	37.2791	42.3584	29.2753	34.2205	79.3237	59.7057
MidDIP	12.8965	8.6276	11.9107	10.2758	11.2312	16.1694
RinDIP	22.8335	10.0925	19.0005	14.8924	9.4236	14.5480
LitDIP	29.6140	17.7767	35.8986	24.9181	16.0169	34.7937
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	588.8510	457.0267	555.0841	486.9258	675.9450	728.0105
IndMCP_f	197.5060	224.1444	155.0681	181.3372	420.0004	316.5945
MidMCP_f	75.4020	50.4765	69.7774	60.0345	65.7783	94.5907
RinMMCP_fCP	123.0948	54.3080	102.7221	80.4625	50.8597	78.6250
LitMCP_f	145.2801	87.1210	176.4082	122.4292	78.5895	170.7592
ThPIP	384.4604	298.3924	362.4140	317.9135	441.3240	475.3175
IndPIP	84.9440	96.4007	66.6922	77.9901	180.6351	136.1620
MidPIP	32.5955	21.8205	30.1641	25.9524	28.4353	40.8907
