jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	568.3608	471.2911	416.8169	680.9053	638.1530	749.5853
IndMCP_f	215.6872	212.8000	141.6164	318.4753	339.2664	360.7697
MidMCP_f	69.7499	57.4106	46.0046	57.4852	59.5924	87.0148
RinMMCP_fCP	105.3646	77.1280	96.3139	89.9515	48.9146	74.3076
LitMCP_f	130.4404	85.6134	99.6440	150.0156	126.9894	157.3402
ThPIP	371.0824	307.7056	272.1395	444.5625	416.6497	489.4037
IndPIP	92.7634	91.5217	60.9068	136.9709	145.9128	155.1610
MidPIP	30.1522	24.8181	19.8874	24.8503	25.7612	37.6157
RinPIP	53.1496	38.9061	48.5841	45.3747	24.6743	37.4834
LitPIP	70.2930	46.1362	53.6971	80.8419	68.4333	84.7890
ThDIP	144.8945	120.1481	106.2608	173.5859	162.6869	191.0948
IndDIP	40.7476	40.2021	26.7541	60.1663	64.0942	68.1566
MidDIP	11.9184	9.8100	7.8610	9.8227	10.1828	14.8685
RinDIP	19.4985	14.2731	17.8236	16.6462	9.0520	13.7512
LitDIP	26.5781	17.4443	20.3031	30.5667	25.8749	32.0591
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	568.7625	471.1041	417.6722	680.9147	638.4250	750.0473
IndMCP_f	215.6503	212.6761	141.8592	318.4465	339.4183	360.7091
MidMCP_f	69.7564	57.3948	46.0756	57.5717	59.6537	87.0964
RinMMCP_fCP	105.6194	76.9341	96.4623	90.0337	48.9882	74.5861
LitMCP_f	130.5932	85.7391	99.9559	149.9231	126.9692	157.4930
ThPIP	371.3446	307.5835	272.6979	444.5687	416.8272	489.7053
IndPIP	92.7476	91.4684	61.0113	136.9585	145.9781	155.1349
MidPIP	30.1550	24.8112	19.9180	24.8877	25.7877	37.6509
RinPIP	53.2782	38.8083	48.6590	45.4162	24.7114	37.6239
LitPIP	70.3753	46.2039	53.8652	80.7920	68.4224	84.8713
ThDIP	144.9969	120.1004	106.4788	173.5883	162.7562	191.2125
IndDIP	40.7406	40.1788	26.8000	60.1609	64.1229	68.1451
MidDIP	11.9195	9.8072	7.8731	9.8375	10.1932	14.8825
RinDIP	19.5456	14.2372	17.8510	16.6614	9.0656	13.8027
LitDIP	26.6092	17.4699	20.3667	30.5478	25.8708	32.0903
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	569.1780	470.9350	418.5473	680.9349	638.7099	750.5187
IndMCP_f	215.6164	212.5617	142.1006	318.4230	339.5823	360.6496
MidMCP_f	69.7628	57.3797	46.1489	57.6608	59.7155	87.1790
