ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	1.2517	-2.0796	-2.6750	1.0631	-3.1532	-3.2613	1.2611	-3.6034	-3.8480	1.1271	-5.8100	-3.6072	0.0408	-4.3716	-2.5334	-1.0785	0.2400	-0.1121	-1.3856	2.5882	1.1250	0.0128	-2.4960	-3.0299	-4.5291	30.0436	23.7947	-71.7162	472.1371	145.9384	-17.3084	147.7044	55.7007	1.2126	-3.4045	-4.1556	-3.2249	12.7569	6.1803	-4.1967	18.4884	9.0198	-2.8889	23.8237	22.4151	0.6635	-0.2773	-2.0532	-5.5781	20.0248	10.1527	-20.0615	87.5801	35.9173	-33.5983	166.9814	56.4191	1.1934	-0.3554	-1.8665	1.6216	-1.2155	-1.8688	-12.2782	40.9870	16.0837	-29.5193	106.6990	34.3717	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2994	0.0291	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.2825	-2.1451	-2.7366	1.0830	-3.2215	-3.3217	1.2667	-3.6341	-3.8874	1.1125	-5.8015	-3.6137	-0.0335	-4.0956	-2.4185	-1.1784	0.7957	0.1232	-1.4651	3.2546	1.4081	0.0110	-2.5424	-3.0819	-6.0704	38.7857	27.3011	-71.4019	470.9592	146.4463	-17.6995	151.5113	57.2892	1.1727	-3.3117	-4.1068	-3.4488	13.6820	6.7833	-4.4050	19.6621	9.7013	-4.0806	31.7430	25.2003	0.5045	0.0852	-1.8292	-5.9449	21.1818	10.8661	-20.7285	90.3805	37.1995	-34.3511	170.7721	57.8746	1.0159	-0.0041	-1.6599	1.5265	-0.9991	-1.7396	-12.8810	42.7703	16.8762	-30.4330	109.8417	35.5002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2993	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.3128	-2.2095	-2.7974	1.1020	-3.2878	-3.3809	1.2706	-3.6606	-3.9237	1.0954	-5.7850	-3.6161	-0.1114	-3.8013	-2.2952	-1.2818	1.3770	0.3701	-1.5465	3.9492	1.7039	0.0086	-2.5863	-3.1320	-7.6044	47.4986	30.8078	-71.0813	469.7537	146.9548	-18.0909	155.3403	58.8934	1.1294	-3.2096	-4.0506	-3.6796	14.6369	7.4080	-4.6186	20.8690	10.4042	-5.2664	39.6322	27.9860	0.3374	0.4660	-1.5922	-6.3225	22.3717	11.6019	-21.4049	93.2188	38.5035	-35.1035	174.5650	59.3390	0.8289	0.3647	-1.4415	1.4254	-0.7702	-1.6019	-13.4981	44.5930	17.6886	-31.3575	113.0183	36.6451	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2993	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.3425	-2.2727	-2.8575	1.1201	-3.3518	-3.4386	1.2729	-3.6827	-3.9570	1.0760	-5.7601	-3.6144	-0.1932	-3.4882	-2.1631	-1.3887	1.9847	0.6289	-1.6299	4.6725	2.0125	0.0056	-2.6278	-3.1801	-9.1298	56.1738	34.3118	-70.7545	468.5205	147.4635	-18.4822	159.1888	60.5122	1.0825	-3.0978	-3.9868	-3.9174	15.6222	8.0547	-4.8377	22.1094	11.1286	-6.4449	47.4836	30.7699	0.1619	0.8653	-1.3420	-6.7110	23.5947	12.3604	-22.0905	96.0938	39.8290	-35.8547	178.3564	60.8114	0.6322	0.7517	-1.2109	1.3181	-0.5285	-1.4556	-14.1295	46.4553	18.5210	-32.2923	116.2271	37.8061	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2992	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.3716	-2.3346	-2.9168	1.1372	-3.4133	-3.4948	1.2733	-3.7001	-3.9869	1.0541	-5.7265	-3.6082	-0.2788	-3.1558	-2.0220	-1.4991	2.6194	0.8998	-1.7153	5.4251	2.3343	0.0019	-2.6666	-3.2262	-10.6449	64.8032	37.8104	-70.4214	467.2597	147.9718	-18.8729	163.0535	62.1448	1.0319	-2.9759	-3.9152	-4.1624	16.6381	8.7238	-5.0622	23.3836	11.8749	-7.6149	55.2896	33.5497	-0.0221	1.2836	-1.0783	-7.1105	24.8512	13.1419	-22.7849	99.0044	41.1756	-36.6039	182.1423	62.2904	0.4255	1.1572	-0.9679	1.2046	-0.2737	-1.3002	-14.7753	48.3570	19.3733	-33.2370	119.4663	38.9827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2992	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.4001	-2.3951	-2.9751	1.1533	-3.4723	-3.5493	1.2720	-3.7127	-4.0133	1.0295	-5.6837	-3.5975	-0.3684	-2.8035	-1.8717	-1.6132	3.2815	1.1832	-1.8027	6.2077	2.6696	-0.0024	-2.7025	-3.2700	-12.1484	73.3787	41.3005	-70.0821	465.9712	148.4794	-19.2628	166.9314	63.7901	0.9775	-2.8436	-3.8353	-4.4145	17.6851	9.4157	-5.2921	24.6918	12.6432	-8.7754	63.0428	36.3230	-0.2149	1.7215	-0.8006	-7.5211	26.1412	13.9467	-23.4880	101.9492	42.5429	-37.3503	185.9187	63.7750	0.2087	1.5816	-0.7120	1.0845	-0.0053	-1.1357	-15.4356	50.2981	20.2457	-34.1910	122.7340	40.1743	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2992	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.4278	-2.4539	-3.0323	1.1684	-3.5286	-3.6021	1.2686	-3.7201	-4.0360	1.0023	-5.6314	-3.5819	-0.4620	-2.4307	-1.7119	-1.7309	3.9716	1.4793	-1.8920	7.0207	3.0185	-0.0073	-2.7354	-3.3114	-13.6386	81.8920	44.7793	-69.7366	464.6549	148.9859	-19.6513	170.8193	65.4471	0.9191	-2.7006	-3.7470	-4.6739	18.7635	10.1306	-5.5275	26.0343	13.4338	-9.9251	70.7356	39.0876	-0.4166	2.1793	-0.5086	-7.9428	27.4652	14.7749	-24.1993	104.9267	43.9305	-38.0929	189.6813	65.2639	-0.0186	2.0254	-0.4431	0.9578	0.2768	-0.9617	-16.1102	52.2782	21.1383	-35.1538	126.0282	41.3805	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2991	0.0290	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.4547	-2.5111	-3.0885	1.1822	-3.5818	-3.6529	1.2633	-3.7223	-4.0549	0.9723	-5.5693	-3.5613	-0.5599	-2.0369	-1.5423	-1.8523	4.6904	1.7883	-1.9833	7.8647	3.3814	-0.0130	-2.7651	-3.3503	-15.1142	90.3355	48.2441	-69.3849	463.3108	149.4907	-20.0380	174.7135	67.1145	0.8567	-2.5466	-3.6499	-4.9406	19.8736	10.8689	-5.7684	27.4113	14.2469	-11.0628	78.3608	41.8412	-0.6275	2.6575	-0.2020	-8.3758	28.8232	15.6269	-24.9185	107.9356	45.3380	-38.8309	193.4257	66.7558	-0.2565	2.4890	-0.1608	0.8242	0.5732	-0.7780	-16.7992	54.2972	22.0509	-36.1248	129.3469	42.6008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2991	0.0289	-0.5407	0.0154	0.0178	-0.0102	2.0000
0.0000	1.4808	-2.5665	-3.1433	1.1949	-3.6320	-3.7016	1.2559	-3.7188	-4.0697	0.9394	-5.4969	-3.5356	-0.6619	-1.6216	-1.3626	-1.9774	5.4385	2.1106	-2.0766	8.7403	3.7586	-0.0195	-2.7915	-3.3865	-16.5737	98.7015	51.6921	-69.0272	461.9389	149.9934	-20.4224	178.6104	68.7912	0.7900	-2.3811	-3.5437	-5.2147	21.0158	11.6310	-6.0147	28.8230	15.0827	-12.1875	85.9116	44.5817	-0.8477	3.1565	0.1196	-8.8201	30.2155	16.5028	-25.6452	110.9741	46.7647	-39.5634	197.1473	68.2493	-0.5053	2.9729	0.1353	0.6836	0.8840	-0.5843	-17.5025	56.3549	22.9836	-37.1034	132.6877	43.8345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5270	0.1781	0.0521	0.0497	0.2447	0.3135	-0.1180	-0.2256	-0.0010	0.0011	0.2990	0.0289	-0.5407	0.0154	0.0178	-0.0102	2.0000
