ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	-79.2053	172.4174	97.4205	-60.6884	186.5428	108.7505	-53.7600	163.6477	103.1832	-34.4312	214.1108	95.8964	-7.0260	201.3768	76.6957	12.9446	186.3903	49.8631	28.3410	178.4630	32.1573	-16.4838	148.3023	100.6060	13.5164	119.1569	66.4215	24.1614	113.2546	41.7368	30.8707	110.9206	22.8709	-45.2941	137.4040	96.1927	-11.3160	104.9430	54.9525	4.1727	104.2220	23.8281	14.0125	108.0469	3.2226	-63.5964	133.2043	79.9501	-35.6043	112.5865	36.8165	-6.2593	119.9070	-9.9435	-0.2701	-1.5168	1.2469	-82.5473	139.0392	66.3781	-59.5483	129.8846	29.0310	-46.6751	128.1449	6.0674	-36.5553	128.9453	-4.8175	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0014	-0.0001	-0.0001	0.0000	0.0000	-0.0000	0.0000
0.0000	-79.2095	172.4314	97.4146	-60.6931	186.5572	108.7461	-53.7642	163.6621	103.1782	-34.4346	214.1258	95.8945	-7.0295	201.3923	76.6941	12.9432	186.4061	49.8619	28.3389	178.4777	32.1556	-16.4875	148.3173	100.6030	13.5147	119.1735	66.4179	24.1601	113.2731	41.7331	30.8707	110.9400	22.8674	-45.2979	137.4184	96.1876	-11.3174	104.9605	54.9468	4.1731	104.2411	23.8231	14.0138	108.0674	3.2179	-63.5995	133.2198	79.9436	-35.6048	112.6046	36.8094	-6.2524	119.9212	-9.9561	-0.2708	-1.4856	1.2427	-82.5498	139.0552	66.3708	-59.5485	129.9026	29.0238	-46.6743	128.1640	6.0599	-36.5544	128.9648	-4.8251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0016	-0.0002	-0.0002	-0.0000	0.0000	-0.0000	0.0000
0.0000	-79.2140	172.4459	97.4087	-60.6982	186.5720	108.7417	-53.7688	163.6770	103.1734	-34.4382	214.1413	95.8928	-7.0332	201.4083	76.6926	12.9417	186.4222	49.8610	28.3367	178.4929	32.1541	-16.4915	148.3327	100.6001	13.5129	119.1905	66.4145	24.1587	113.2921	41.7295	30.8705	110.9599	22.8641	-45.3020	137.4332	96.1827	-11.3189	104.9784	54.9411	4.1733	104.2608	23.8181	14.0149	108.0884	3.2132	-63.6029	133.2356	79.9372	-35.6056	112.6231	36.8023	-6.2456	119.9351	-9.9686	-0.2718	-1.4496	1.2383	-82.5524	139.0716	66.3634	-59.5488	129.9211	29.0167	-46.6735	128.1836	6.0525	-36.5537	128.9848	-4.8326	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0018	-0.0002	-0.0002	-0.0000	0.0000	-0.0000	0.0000
0.0000	-79.2188	172.4607	97.4028	-60.7035	186.5871	108.7374	-53.7736	163.6922	103.1686	-34.4420	214.1571	95.8912	-7.0370	201.4246	76.6913	12.9401	186.4386	49.8602	28.3345	178.5083	32.1529	-16.4957	148.3485	100.5975	13.5109	119.2079	66.4113	24.1571	113.3115	41.7262	30.8703	110.9802	22.8610	-45.3063	137.4484	96.1779	-11.3207	104.9967	54.9356	4.1734	104.2809	23.8133	14.0160	108.1099	3.2086	-63.6066	133.2518	79.9309	-35.6064	112.6422	36.7952	-6.2390	119.9486	-9.9809	-0.2733	-1.4085	1.2337	-82.5553	139.0884	66.3561	-59.5493	129.9401	29.0095	-46.6728	128.2037	6.0451	-36.5529	129.0054	-4.8402	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0019	-0.0003	-0.0003	-0.0000	0.0000	-0.0000	0.0000
0.0000	-79.2239	172.4759	97.3969	-60.7091	186.6026	108.7332	-53.7787	163.7077	103.1639	-34.4461	214.1733	95.8897	-7.0411	201.4413	76.6902	12.9384	186.4555	49.8597	28.3322	178.5241	32.1519	-16.5002	148.3647	100.5950	13.5086	119.2257	66.4082	24.1553	113.3313	41.7230	30.8699	111.0010	22.8580	-45.3110	137.4640	96.1731	-11.3227	105.0154	54.9302	4.1733	104.3014	23.8086	14.0169	108.1319	3.2042	-63.6105	133.2684	79.9246	-35.6075	112.6616	36.7881	-6.2325	119.9618	-9.9929	-0.2751	-1.3622	1.2289	-82.5584	139.1056	66.3487	-59.5498	129.9595	29.0024	-46.6721	128.2243	6.0376	-36.5523	129.0264	-4.8477	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0021	-0.0004	-0.0004	-0.0000	-0.0000	-0.0000	0.0000
0.0000	-79.2292	172.4915	97.3910	-60.7150	186.6186	108.7290	-53.7842	163.7237	103.1593	-34.4504	214.1899	95.8884	-7.0453	201.4583	76.6893	12.9365	186.4727	49.8594	28.3299	178.5402	32.1512	-16.5049	148.3813	100.5927	13.5061	119.2439	66.4053	24.1534	113.3516	41.7199	30.8693	111.0223	22.8552	-45.3159	137.4799	96.1685	-11.3248	105.0345	54.9249	4.1732	104.3225	23.8041	14.0178	108.1544	3.2000	-63.6146	133.2854	79.9183	-35.6086	112.6815	36.7811	-6.2262	119.9747	-10.0046	-0.2773	-1.3105	1.2239	-82.5618	139.1232	66.3413	-59.5506	129.9794	28.9952	-46.6716	128.2454	6.0302	-36.5517	129.0480	-4.8552	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0022	-0.0004	-0.0004	-0.0000	-0.0000	-0.0000	0.0000
0.0000	-79.2349	172.5075	97.3852	-60.7212	186.6349	108.7250	-53.7899	163.7401	103.1549	-34.4550	214.2069	95.8873	-7.0497	201.4758	76.6886	12.9346	186.4902	49.8593	28.3275	178.5566	32.1507	-16.5099	148.3982	100.5905	13.5034	119.2625	66.4026	24.1513	113.3723	41.7171	30.8686	111.0440	22.8526	-45.3210	137.4962	96.1641	-11.3272	105.0541	54.9198	4.1729	104.3440	23.7997	14.0186	108.1774	3.1959	-63.6190	133.3028	79.9121	-35.6100	112.7019	36.7741	-6.2201	119.9871	-10.0161	-0.2800	-1.2531	1.2187	-82.5654	139.1412	66.3340	-59.5514	129.9997	28.9881	-46.6711	128.2670	6.0228	-36.5511	129.0700	-4.8627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0024	-0.0005	-0.0005	-0.0000	-0.0000	-0.0000	0.0000
0.0000	-79.2409	172.5239	97.3795	-60.7278	186.6515	108.7210	-53.7959	163.7568	103.1505	-34.4598	214.2243	95.8863	-7.0543	201.4936	76.6881	12.9325	186.5081	49.8595	28.3250	178.5734	32.1506	-16.5152	148.4155	100.5886	13.5005	119.2815	66.4001	24.1490	113.3934	41.7145	30.8677	111.0661	22.8502	-45.3265	137.5129	96.1597	-11.3298	105.0741	54.9148	4.1724	104.3660	23.7954	14.0192	108.2009	3.1919	-63.6237	133.3205	79.9061	-35.6116	112.7227	36.7673	-6.2141	119.9991	-10.0272	-0.2831	-1.1899	1.2133	-82.5692	139.1596	66.3266	-59.5524	130.0205	28.9810	-46.6708	128.2891	6.0155	-36.5507	129.0926	-4.8701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0025	-0.0006	-0.0006	-0.0000	-0.0000	-0.0000	0.0000
0.0000	-79.2472	172.5407	97.3738	-60.7347	186.6686	108.7172	-53.8023	163.7740	103.1463	-34.4649	214.2420	95.8855	-7.0590	201.5118	76.6879	12.9304	186.5264	49.8600	28.3224	178.5905	32.1508	-16.5207	148.4332	100.5869	13.4973	119.3009	66.3979	24.1465	113.4150	41.7121	30.8666	111.0888	22.8480	-45.3323	137.5300	96.1555	-11.3325	105.0946	54.9099	4.1718	104.3884	23.7913	14.0198	108.2249	3.1882	-63.6287	133.3387	79.9001	-35.6133	112.7440	36.7604	-6.2084	120.0106	-10.0381	-0.2866	-1.1206	1.2077	-82.5733	139.1785	66.3193	-59.5536	130.0417	28.9739	-46.6705	128.3118	6.0082	-36.5503	129.1157	-4.8775	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7897	0.3668	0.0767	0.1356	0.2106	1.3610	-0.0526	-1.1662	0.0000	-0.0000	0.0027	-0.0006	-0.0006	-0.0000	-0.0000	-0.0000	0.0000
