ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	-30.4811	75.4024	63.1305	-9.3772	90.8061	69.5550	-3.8291	70.8187	55.2354	5.0399	121.8848	46.7618	18.7436	121.5218	15.8122	24.6430	120.4760	-17.4980	33.7094	125.4465	-38.5677	28.4941	61.4701	32.3688	55.1878	34.2594	-1.6257	63.2154	25.0162	-26.0429	65.8542	18.8937	-45.4048	2.2339	47.6946	36.4680	25.9820	10.7893	-5.9064	32.1171	6.6623	-40.4796	35.4525	9.2230	-63.2023	-19.7227	42.3152	29.8337	-7.7327	13.4560	-14.1858	-3.1734	10.0966	-50.3102	4.3281	11.5547	-68.3674	-42.7194	43.8211	27.6942	-40.8791	27.1333	-10.3690	-41.5196	14.5723	-31.1648	-37.5815	9.8833	-46.7878	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6433	0.1067	0.0441	0.2924	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0035	-0.0013	0.0024	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.4876	75.4035	63.1385	-9.3833	90.8063	69.5639	-3.8354	70.8194	55.2439	5.0359	121.8852	46.7720	18.7405	121.5222	15.8223	24.6414	120.4763	-17.4874	33.7112	125.4485	-38.5567	28.4882	61.4705	32.3777	55.1820	34.2614	-1.6183	63.2120	25.0175	-26.0350	65.8537	18.8927	-45.3950	2.2270	47.6959	36.4760	25.9773	10.7878	-5.8943	32.1155	6.6574	-40.4674	35.4527	9.2179	-63.1911	-19.7298	42.3173	29.8405	-7.7383	13.4572	-14.1771	-3.1768	10.0945	-50.3013	4.3273	11.5517	-68.3580	-42.7264	43.8245	27.6998	-40.8859	27.1349	-10.3620	-41.5266	14.5726	-31.1568	-37.5894	9.8783	-46.7781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6433	0.1066	0.0441	0.2924	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0036	-0.0014	0.0024	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.4942	75.4046	63.1465	-9.3894	90.8064	69.5729	-3.8417	70.8201	55.2523	5.0319	121.8855	46.7821	18.7374	121.5226	15.8324	24.6397	120.4766	-17.4767	33.7128	125.4506	-38.5457	28.4823	61.4709	32.3865	55.1762	34.2634	-1.6110	63.2086	25.0188	-26.0272	65.8533	18.8917	-45.3854	2.2201	47.6973	36.4839	25.9726	10.7863	-5.8822	32.1140	6.6524	-40.4553	35.4527	9.2127	-63.1801	-19.7370	42.3193	29.8473	-7.7440	13.4585	-14.1683	-3.1802	10.0923	-50.2923	4.3263	11.5487	-68.3485	-42.7334	43.8279	27.7053	-40.8927	27.1365	-10.3551	-41.5336	14.5730	-31.1489	-37.5974	9.8734	-46.7685	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6432	0.1066	0.0441	0.2924	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0036	-0.0014	0.0025	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5007	75.4058	63.1546	-9.3955	90.8065	69.5819	-3.8480	70.8209	55.2607	5.0280	121.8859	46.7923	18.7342	121.5230	15.8425	24.6381	120.4770	-17.4661	33.7145	125.4528	-38.5348	28.4763	61.4713	32.3953	55.1704	34.2655	-1.6038	63.2051	25.0201	-26.0195	65.8528	18.8907	-45.3758	2.2132	47.6987	36.4918	25.9678	10.7848	-5.8702	32.1123	6.6475	-40.4432	35.4528	9.2075	-63.1690	-19.7441	42.3214	29.8541	-7.7498	13.4598	-14.1596	-3.1837	10.0901	-50.2835	4.3253	11.5458	-68.3391	-42.7404	43.8313	27.7109	-40.8997	27.1381	-10.3481	-41.5406	14.5733	-31.1409	-37.6055	9.8685	-46.7589	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6432	0.1066	0.0441	0.2924	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0037	-0.0014	0.0025	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5072	75.4069	63.1626	-9.4015	90.8067	69.5909	-3.8543	70.8216	55.2691	5.0240	121.8863	46.8025	18.7311	121.5235	15.8525	24.6364	120.4774	-17.4555	33.7162	125.4552	-38.5238	28.4704	61.4717	32.4040	55.1645	34.2676	-1.5967	63.2016	25.0215	-26.0119	65.8523	18.8896	-45.3663	2.2063	47.7001	36.4997	25.9631	10.7834	-5.8582	32.1107	6.6425	-40.4312	35.4527	9.2023	-63.1581	-19.7512	42.3235	29.8609	-7.7556	13.4610	-14.1510	-3.1873	10.0880	-50.2746	4.3242	11.5428	-68.3297	-42.7474	43.8347	27.7165	-40.9066	27.1398	-10.3411	-41.5478	14.5738	-31.1329	-37.6136	9.8636	-46.7494	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6432	0.1065	0.0441	0.2923	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0037	-0.0015	0.0025	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5136	75.4081	63.1706	-9.4074	90.8068	69.5998	-3.8605	70.8223	55.2775	5.0202	121.8867	46.8127	18.7280	121.5240	15.8625	24.6346	120.4780	-17.4450	33.7178	125.4578	-38.5129	28.4645	61.4721	32.4126	55.1586	34.2697	-1.5898	63.1981	25.0228	-26.0044	65.8518	18.8885	-45.3569	2.1994	47.7015	36.5074	25.9584	10.7819	-5.8463	32.1091	6.6376	-40.4192	35.4527	9.1971	-63.1473	-19.7583	42.3256	29.8677	-7.7615	13.4624	-14.1424	-3.1909	10.0858	-50.2659	4.3230	11.5398	-68.3204	-42.7544	43.8381	27.7221	-40.9136	27.1415	-10.3342	-41.5550	14.5742	-31.1250	-37.6218	9.8587	-46.7399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6432	0.1065	0.0441	0.2923	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0038	-0.0015	0.0025	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5200	75.4092	63.1787	-9.4133	90.8069	69.6088	-3.8666	70.8230	55.2858	5.0163	121.8871	46.8228	18.7249	121.5245	15.8725	24.6329	120.4787	-17.4345	33.7194	125.4606	-38.5021	28.4586	61.4725	32.4211	55.1527	34.2718	-1.5830	63.1945	25.0242	-25.9970	65.8514	18.8874	-45.3477	2.1925	47.7029	36.5152	25.9536	10.7805	-5.8345	32.1074	6.6326	-40.4074	35.4525	9.1920	-63.1366	-19.7654	42.3277	29.8744	-7.7675	13.4637	-14.1339	-3.1946	10.0836	-50.2572	4.3217	11.5368	-68.3112	-42.7615	43.8415	27.7277	-40.9206	27.1432	-10.3273	-41.5622	14.5747	-31.1171	-37.6301	9.8539	-46.7304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6431	0.1065	0.0441	0.2923	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0038	-0.0016	0.0026	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5263	75.4104	63.1866	-9.4191	90.8071	69.6177	-3.8728	70.8238	55.2940	5.0126	121.8876	46.8328	18.7217	121.5251	15.8824	24.6311	120.4794	-17.4241	33.7209	125.4635	-38.4913	28.4527	61.4730	32.4295	55.1468	34.2739	-1.5763	63.1909	25.0255	-25.9897	65.8509	18.8863	-45.3386	2.1856	47.7043	36.5228	25.9489	10.7791	-5.8228	32.1057	6.6276	-40.3957	35.4523	9.1868	-63.1260	-19.7725	42.3298	29.8810	-7.7734	13.4651	-14.1254	-3.1985	10.0814	-50.2486	4.3203	11.5337	-68.3020	-42.7685	43.8448	27.7333	-40.9277	27.1449	-10.3204	-41.5695	14.5752	-31.1092	-37.6384	9.8492	-46.7210	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6431	0.1064	0.0441	0.2923	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0038	-0.0016	0.0026	0.0000	0.0000	-0.0000	0.0000
0.0000	-30.5326	75.4115	63.1946	-9.4248	90.8072	69.6265	-3.8788	70.8245	55.3022	5.0089	121.8880	46.8428	18.7186	121.5257	15.8922	24.6293	120.4803	-17.4138	33.7224	125.4666	-38.4806	28.4469	61.4734	32.4379	55.1409	34.2760	-1.5698	63.1873	25.0269	-25.9826	65.8504	18.8851	-45.3296	2.1788	47.7057	36.5303	25.9442	10.7777	-5.8113	32.1040	6.6226	-40.3841	35.4521	9.1816	-63.1156	-19.7795	42.3319	29.8876	-7.7794	13.4665	-14.1171	-3.2023	10.0793	-50.2401	4.3188	11.5307	-68.2930	-42.7755	43.8482	27.7388	-40.9348	27.1466	-10.3136	-41.5769	14.5757	-31.1014	-37.6468	9.8445	-46.7116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6431	0.1064	0.0441	0.2923	0.2002	4.1860	0.0446	-7.2949	-0.0000	0.0000	-0.0039	-0.0017	0.0026	0.0000	0.0000	-0.0000	0.0000
