ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	6.2284	142.9316	89.8466	26.2506	160.1988	87.0397	30.8457	136.4647	81.8231	36.8867	179.5327	54.2681	48.9821	165.2299	25.3075	53.2509	148.6870	-5.1573	58.5682	140.3295	-27.2869	59.9249	116.9819	60.6635	84.1920	86.1917	36.6368	2.4409	6.2624	0.5895	89.8452	55.6094	0.4846	36.3344	107.4572	74.7121	56.6498	65.0755	47.4893	59.9857	44.1990	20.6530	62.2388	31.7417	1.3864	16.3769	108.2382	75.4389	26.6752	64.6811	48.0532	28.7792	41.2496	21.0700	35.0825	30.8636	5.4132	-6.9369	108.4339	76.3911	-7.1062	76.9458	50.0652	-7.7246	56.6236	35.3129	-4.5198	47.1945	22.3256	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0006	-0.0004	0.0005	0.0000	-0.0000	-0.0000	4.0000
0.0000	6.2343	142.9514	89.8525	26.2566	160.2186	87.0433	30.8517	136.4835	81.8296	36.8918	179.5502	54.2688	48.9864	165.2428	25.3086	53.2541	148.6944	-5.1559	58.5692	140.3320	-27.2869	59.9310	116.9985	60.6713	84.1956	86.2059	36.6446	2.4427	6.2626	0.5885	89.8458	55.6223	0.4930	36.3401	107.4750	74.7222	56.6556	65.0902	47.5002	59.9888	44.2126	20.6663	62.2411	31.7529	1.4004	16.3822	108.2556	75.4493	26.6795	64.6959	48.0666	28.7816	41.2625	21.0841	35.0855	30.8749	5.4280	-6.9319	108.4513	76.4016	-7.1014	76.9601	50.0790	-7.7201	56.6359	35.3286	-4.5151	47.2062	22.3421	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0006	-0.0005	0.0005	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2399	142.9712	89.8586	26.2623	160.2385	87.0471	30.8573	136.5024	81.8363	36.8968	179.5676	54.2696	48.9907	165.2558	25.3099	53.2571	148.7018	-5.1543	58.5701	140.3345	-27.2867	59.9367	117.0150	60.6793	84.1989	86.2201	36.6526	2.4445	6.2628	0.5875	89.8462	55.6351	0.5016	36.3455	107.4927	74.7326	56.6611	65.1049	47.5112	59.9915	44.2261	20.6796	62.2432	31.7641	1.4146	16.3873	108.2730	75.4598	26.6836	64.7107	48.0800	28.7837	41.2756	21.0982	35.0881	30.8863	5.4430	-6.9273	108.4688	76.4122	-7.0970	76.9745	50.0928	-7.7158	56.6484	35.3443	-4.5107	47.2180	22.3586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0005	-0.0007	0.0005	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2452	142.9911	89.8647	26.2678	160.2585	87.0511	30.8627	136.5212	81.8430	36.9017	179.5851	54.2707	48.9949	165.2688	25.3113	53.2602	148.7092	-5.1526	58.5711	140.3369	-27.2865	59.9422	117.0314	60.6874	84.2019	86.2342	36.6607	2.4462	6.2630	0.5864	89.8463	55.6480	0.5102	36.3506	107.5105	74.7430	56.6662	65.1196	47.5223	59.9940	44.2397	20.6931	62.2449	31.7754	1.4288	16.3919	108.2906	75.4704	26.6872	64.7256	48.0934	28.7856	41.2887	21.1123	35.0905	30.8977	5.4579	-6.9229	108.4864	76.4228	-7.0928	76.9890	50.1065	-7.7119	56.6609	35.3599	-4.5065	47.2299	22.3749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0004	-0.0008	0.0005	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2501	143.0111	89.8709	26.2729	160.2784	87.0552	30.8678	136.5401	81.8500	36.9063	179.6026	54.2719	48.9989	165.2818	25.3130	53.2631	148.7165	-5.1507	58.5720	140.3393	-27.2860	59.9474	117.0479	60.6958	84.2046	86.2483	36.6690	2.4479	6.2633	0.5854	89.8461	55.6608	0.5190	36.3552	107.5283	74.7536	56.6710	65.1342	47.5336	59.9961	44.2532	20.7067	62.2464	31.7866	1.4432	16.3962	108.3081	75.4811	26.6906	64.7405	48.1070	28.7871	41.3019	21.1265	35.0926	30.9092	5.4729	-6.9189	108.5041	76.4333	-7.0890	77.0036	50.1203	-7.7082	56.6736	35.3755	-4.5026	47.2420	22.3912	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0004	-0.0010	0.0004	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2547	143.0311	89.8771	26.2777	160.2983	87.0594	30.8726	136.5589	81.8570	36.9108	179.6201	54.2733	49.0029	165.2948	25.3149	53.2660	148.7238	-5.1486	58.5729	140.3416	-27.2854	59.9523	117.0642	60.7043	84.2070	86.2622	36.6774	2.4496	6.2635	0.5844	89.8455	55.6735	0.5280	36.3596	107.5460	74.7643	56.6753	65.1488	47.5450	59.9979	44.2667	20.7204	62.2476	31.7978	1.4577	16.4002	108.3257	75.4918	26.6935	64.7554	48.1205	28.7882	41.3151	21.1406	35.0943	30.9207	5.4879	-6.9154	108.5218	76.4439	-7.0855	77.0183	50.1339	-7.7050	56.6864	35.3910	-4.4991	47.2542	22.4074	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0003	-0.0011	0.0004	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2589	143.0510	89.8835	26.2821	160.3182	87.0638	30.8770	136.5777	81.8643	36.9150	179.6376	54.2749	49.0066	165.3077	25.3170	53.2688	148.7310	-5.1463	58.5737	140.3438	-27.2846	59.9569	117.0804	60.7131	84.2090	86.2761	36.6859	2.4513	6.2637	0.5833	89.8446	55.6862	0.5370	36.3635	107.5637	74.7751	56.6793	65.1634	47.5564	59.9993	44.2802	20.7342	62.2485	31.8090	1.4722	16.4037	108.3432	75.5025	26.6960	64.7703	48.1341	28.7891	41.3283	21.1548	35.0958	30.9323	5.5029	-6.9122	108.5396	76.4544	-7.0824	77.0330	50.1475	-7.7021	56.6993	35.4063	-4.4959	47.2665	22.4235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0003	-0.0013	0.0004	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2627	143.0710	89.8898	26.2862	160.3381	87.0683	30.8810	136.5964	81.8716	36.9190	179.6550	54.2767	49.0102	165.3205	25.3193	53.2715	148.7381	-5.1438	58.5746	140.3460	-27.2836	59.9610	117.0966	60.7220	84.2107	86.2898	36.6946	2.4529	6.2639	0.5823	89.8434	55.6989	0.5462	36.3670	107.5813	74.7860	56.6828	65.1778	47.5680	60.0003	44.2935	20.7480	62.2490	31.8201	1.4868	16.4068	108.3607	75.5133	26.6981	64.7852	48.1476	28.7895	41.3416	21.1689	35.0968	30.9438	5.5179	-6.9094	108.5574	76.4649	-7.0797	77.0479	50.1610	-7.6995	56.7123	35.4216	-4.4931	47.2789	22.4395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0002	-0.0014	0.0004	0.0000	0.0000	-0.0000	4.0000
0.0000	6.2661	143.0909	89.8963	26.2899	160.3578	87.0730	30.8847	136.6150	81.8791	36.9228	179.6723	54.2787	49.0137	165.3333	25.3218	53.2741	148.7452	-5.1411	58.5754	140.3481	-27.2824	59.9648	117.1126	60.7311	84.2120	86.3034	36.7035	2.4546	6.2641	0.5813	89.8418	55.7114	0.5555	36.3700	107.5987	74.7970	56.6859	65.1922	47.5797	60.0010	44.3068	20.7620	62.2491	31.8312	1.5014	16.4094	108.3782	75.5241	26.6998	64.8001	48.1612	28.7896	41.3548	21.1830	35.0976	30.9554	5.5328	-6.9070	108.5752	76.4753	-7.0774	77.0628	50.1744	-7.6974	56.7253	35.4367	-4.4907	47.2914	22.4553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5454	0.0602	0.0930	0.2872	0.1335	-0.0985	-3.8822	-0.0000	0.0000	-0.0001	-0.0016	0.0004	0.0000	0.0000	-0.0000	4.0000
