ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	-13.5177	90.8967	82.6144	8.0842	106.6583	84.8062	12.1734	84.4792	73.6283	20.6232	133.8319	56.3106	31.4039	128.3275	24.3887	33.5173	123.1766	-9.3164	40.0202	125.5026	-31.8676	42.4114	70.5748	49.4363	65.0332	40.2961	15.7709	72.5022	26.1849	-5.1135	76.5392	15.7304	-21.4959	16.5867	58.0517	58.4061	34.9568	18.5476	16.5818	39.8378	4.4550	-13.3933	43.6241	-3.8014	-34.3890	-6.2228	52.1990	55.2265	2.9887	18.1816	15.4020	5.1815	5.4578	-17.7872	11.3264	1.0456	-36.1956	-29.9144	52.9850	55.8419	-29.7640	34.3534	16.4289	-29.7505	23.8667	-6.2350	-25.9395	21.8806	-22.1099	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0018	0.0003	0.0002	-0.0000	-0.0000	0.0000	5.0000
0.0000	-13.5177	90.9043	82.6246	8.0846	106.6652	84.8167	12.1738	84.4860	73.6392	20.6242	133.8381	56.3203	31.4058	128.3329	24.3986	33.5187	123.1821	-9.3070	40.0209	125.5090	-31.8579	42.4126	70.5806	49.4482	65.0359	40.3034	15.7811	72.5059	26.1921	-5.1011	76.5452	15.7363	-21.4825	16.5872	58.0580	58.4178	34.9586	18.5545	16.5950	39.8421	4.4592	-13.3801	43.6293	-3.7995	-34.3754	-6.2222	52.2055	55.2377	2.9902	18.1870	15.4147	5.1838	5.4596	-17.7740	11.3296	1.0471	-36.1823	-29.9140	52.9917	55.8524	-29.7626	34.3597	16.4397	-29.7483	23.8729	-6.2250	-25.9370	21.8863	-22.0992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0015	0.0002	0.0002	-0.0000	-0.0000	0.0000	5.0000
0.0000	-13.5178	90.9118	82.6348	8.0849	106.6719	84.8274	12.1741	84.4927	73.6503	20.6251	133.8443	56.3300	31.4076	128.3382	24.4086	33.5201	123.1876	-9.2977	40.0213	125.5154	-31.8482	42.4137	70.5862	49.4602	65.0383	40.3107	15.7913	72.5094	26.1992	-5.0886	76.5510	15.7418	-21.4690	16.5876	58.0641	58.4296	34.9603	18.5613	16.6082	39.8462	4.4634	-13.3670	43.6343	-3.7975	-34.3619	-6.2218	52.2119	55.2489	2.9915	18.1924	15.4273	5.1858	5.4613	-17.7607	11.3326	1.0485	-36.1690	-29.9138	52.9984	55.8629	-29.7614	34.3659	16.4506	-29.7463	23.8791	-6.2148	-25.9347	21.8919	-22.0884	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0013	0.0002	0.0002	0.0000	-0.0000	0.0000	5.0000
0.0000	-13.5180	90.9192	82.6451	8.0851	106.6786	84.8381	12.1743	84.4993	73.6614	20.6259	133.8503	56.3398	31.4093	128.3433	24.4187	33.5212	123.1931	-9.2882	40.0213	125.5218	-31.8384	42.4146	70.5918	49.4722	65.0406	40.3178	15.8016	72.5126	26.2060	-5.0760	76.5565	15.7471	-21.4554	16.5878	58.0702	58.4415	34.9619	18.5679	16.6215	39.8501	4.4675	-13.3538	43.6390	-3.7956	-34.3484	-6.2216	52.2182	55.2601	2.9926	18.1977	15.4401	5.1877	5.4629	-17.7474	11.3355	1.0497	-36.1556	-29.9138	53.0050	55.8735	-29.7604	34.3720	16.4615	-29.7445	23.8851	-6.2046	-25.9326	21.8974	-22.0776	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0011	0.0001	0.0001	0.0000	-0.0000	0.0000	5.0000
0.0000	-13.5184	90.9265	82.6555	8.0852	106.6852	84.8489	12.1743	84.5058	73.6726	20.6266	133.8563	56.3497	31.4108	128.3484	24.4289	33.5222	123.1986	-9.2787	40.0211	125.5281	-31.8285	42.4153	70.5972	49.4842	65.0426	40.3247	15.8120	72.5157	26.2126	-5.0634	76.5619	15.7522	-21.4418	16.5878	58.0762	58.4533	34.9632	18.5744	16.6348	39.8538	4.4715	-13.3408	43.6434	-3.7936	-34.3351	-6.2215	52.2245	55.2714	2.9935	18.2029	15.4529	5.1894	5.4643	-17.7340	11.3381	1.0507	-36.1422	-29.9140	53.0115	55.8842	-29.7596	34.3781	16.4724	-29.7429	23.8912	-6.1944	-25.9308	21.9029	-22.0667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0008	0.0001	0.0001	0.0000	-0.0000	0.0001	5.0000
0.0000	-13.5189	90.9336	82.6660	8.0851	106.6916	84.8597	12.1742	84.5121	73.6837	20.6271	133.8621	56.3596	31.4121	128.3534	24.4391	33.5231	123.2040	-9.2691	40.0206	125.5344	-31.8187	42.4158	70.6025	49.4963	65.0444	40.3314	15.8223	72.5185	26.2190	-5.0506	76.5670	15.7569	-21.4280	16.5876	58.0820	58.4652	34.9643	18.5807	16.6481	39.8572	4.4754	-13.3277	43.6476	-3.7916	-34.3219	-6.2217	52.2306	55.2827	2.9941	18.2080	15.4657	5.1908	5.4657	-17.7206	11.3406	1.0515	-36.1288	-29.9144	53.0179	55.8949	-29.7590	34.3841	16.4834	-29.7415	23.8971	-6.1841	-25.9293	21.9082	-22.0558	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0006	0.0000	0.0001	0.0000	-0.0000	0.0001	5.0000
0.0000	-13.5196	90.9407	82.6764	8.0849	106.6979	84.8706	12.1739	84.5183	73.6950	20.6274	133.8678	56.3696	31.4133	128.3583	24.4493	33.5237	123.2094	-9.2595	40.0197	125.5405	-31.8088	42.4162	70.6076	49.5084	65.0460	40.3379	15.8327	72.5211	26.2252	-5.0379	76.5719	15.7613	-21.4142	16.5872	58.0877	58.4771	34.9653	18.5869	16.6614	39.8604	4.4792	-13.3148	43.6515	-3.7896	-34.3089	-6.2220	52.2366	55.2940	2.9946	18.2130	15.4785	5.1921	5.4668	-17.7073	11.3428	1.0521	-36.1153	-29.9149	53.0241	55.9056	-29.7587	34.3900	16.4944	-29.7405	23.9029	-6.1738	-25.9280	21.9134	-22.0449	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0004	-0.0000	0.0000	0.0000	-0.0000	0.0001	5.0000
0.0000	-13.5205	90.9476	82.6870	8.0845	106.7040	84.8815	12.1734	84.5244	73.7062	20.6276	133.8733	56.3797	31.4142	128.3631	24.4596	33.5242	123.2147	-9.2499	40.0185	125.5466	-31.7989	42.4163	70.6126	49.5205	65.0472	40.3443	15.8431	72.5234	26.2311	-5.0250	76.5765	15.7654	-21.4004	16.5866	58.0933	58.4890	34.9660	18.5929	16.6746	39.8634	4.4829	-13.3019	43.6551	-3.7876	-34.2960	-6.2226	52.2425	55.3053	2.9948	18.2179	15.4913	5.1931	5.4679	-17.6939	11.3448	1.0525	-36.1019	-29.9157	53.0303	55.9163	-29.7586	34.3957	16.5054	-29.7397	23.9086	-6.1635	-25.9270	21.9185	-22.0339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	0.0002	-0.0001	0.0000	0.0000	-0.0000	0.0001	5.0000
0.0000	-13.5215	90.9543	82.6975	8.0839	106.7099	84.8924	12.1727	84.5303	73.7174	20.6276	133.8787	56.3897	31.4150	128.3677	24.4699	33.5245	123.2200	-9.2402	40.0169	125.5526	-31.7890	42.4162	70.6174	49.5326	65.0483	40.3504	15.8535	72.5254	26.2367	-5.0121	76.5808	15.7691	-21.3865	16.5858	58.0987	58.5009	34.9664	18.5987	16.6878	39.8661	4.4865	-13.2892	43.6584	-3.7855	-34.2833	-6.2234	52.2483	55.3167	2.9948	18.2226	15.5041	5.1939	5.4687	-17.6805	11.3465	1.0527	-36.0885	-29.9167	53.0363	55.9271	-29.7588	34.4014	16.5165	-29.7391	23.9142	-6.1532	-25.9263	21.9235	-22.0230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1871	0.7257	0.0524	0.0682	0.3408	-1.5010	0.0389	-4.1916	-0.0000	0.0000	-0.0001	-0.0001	-0.0000	0.0000	-0.0000	0.0001	5.0000
